Wert,Zeit,Datum
636.30725 W,01:19:00,12-07-2022
640.7681 W,01:19:07,12-07-2022
633.7681 W,01:19:10,12-07-2022
610.8820000000001 W,01:19:13,12-07-2022
649.0955 W,01:19:29,12-07-2022
687.1671666666666 W,01:19:35,12-07-2022
683.1671666666666 W,01:19:38,12-07-2022
676.7740000000001 W,01:19:47,12-07-2022
626.41165 W,01:19:51,12-07-2022
643.7942 W,01:19:54,12-07-2022
706.9627325 W,01:20:06,12-07-2022
644.5658500000002 W,01:20:09,12-07-2022
671.86552 W,01:20:19,12-07-2022
670.0273875 W,01:20:28,12-07-2022
673.1758 W,01:20:41,12-07-2022
693.3956000000003 W,01:20:47,12-07-2022
645.4133999999998 W,01:20:53,12-07-2022
660.8528 W,01:20:59,12-07-2022
660.5581999999998 W,01:21:09,12-07-2022
646.4107999999999 W,01:21:12,12-07-2022
659.7183999999999 W,01:21:18,12-07-2022
698.1603999999999 W,01:21:28,12-07-2022
684.9173999999999 W,01:21:34,12-07-2022
664.7132 W,01:21:40,12-07-2022
649.2610000000001 W,01:21:53,12-07-2022
608.292 W,01:22:08,12-07-2022
697.3108000000002 W,01:22:11,12-07-2022
657.3695999999998 W,01:22:27,12-07-2022
689.4758000000002 W,01:22:33,12-07-2022
693.9586 W,01:22:40,12-07-2022
729.6824 W,01:22:52,12-07-2022
693.6824 W,01:22:55,12-07-2022
711.63635 W,01:22:58,12-07-2022
668.2946000000001 W,01:23:08,12-07-2022
659.3229999999999 W,01:23:11,12-07-2022
702.7590399999998 W,01:23:20,12-07-2022
688.9966249999997 W,01:23:27,12-07-2022
687.7051999999999 W,01:23:36,12-07-2022
674.7051999999999 W,01:23:39,12-07-2022
693.4246999999998 W,01:23:45,12-07-2022
636.8143499999996 W,01:23:52,12-07-2022
649.2026999999998 W,01:23:55,12-07-2022
650.9455499999998 W,01:24:07,12-07-2022
640.9455499999998 W,01:24:10,12-07-2022
643.7857499999998 W,01:24:14,12-07-2022
637.9762499999999 W,01:24:23,12-07-2022
651.9762499999999 W,01:24:26,12-07-2022
670.9378124999998 W,01:24:35,12-07-2022
642.59105 W,01:24:39,12-07-2022
709.1420999999998 W,01:24:51,12-07-2022
724.1420999999998 W,01:24:54,12-07-2022
701.3559500000001 W,01:25:01,12-07-2022
664.94975 W,01:25:07,12-07-2022
684.0035499999998 W,01:25:10,12-07-2022
636 W,01:25:19,12-07-2022
695.2844499999999 W,01:25:26,12-07-2022
689.2596499999997 W,01:25:35,12-07-2022
658.3401999999999 W,01:25:38,12-07-2022
674.3401999999999 W,01:25:41,12-07-2022
693.7051999999996 W,01:25:51,12-07-2022
611.6102 W,01:25:54,12-07-2022
608.8345499999998 W,01:26:06,12-07-2022
619.56035 W,01:26:09,12-07-2022
604.71385 W,01:26:19,12-07-2022
634.0906324999999 W,01:26:28,12-07-2022
635.8778799999998 W,01:26:34,12-07-2022
688.1180050000002 W,01:26:41,12-07-2022
619.2945000000001 W,01:26:53,12-07-2022
586.98 W,01:27:06,12-07-2022
607.335 W,01:27:09,12-07-2022
613.4625 W,01:27:18,12-07-2022
613.14 W,01:27:28,12-07-2022
612.5871428571428 W,01:27:34,12-07-2022
616.5871428571428 W,01:27:40,12-07-2022
597.3384999999997 W,01:27:53,12-07-2022
622.586 W,01:27:56,12-07-2022
598.334 W,01:28:08,12-07-2022
600.334 W,01:28:11,12-07-2022
608.2030000000002 W,01:28:21,12-07-2022
652.4909999999999 W,01:28:27,12-07-2022
665.7134999999998 W,01:28:33,12-07-2022
601.5284999999999 W,01:28:39,12-07-2022
635.2620000000002 W,01:28:52,12-07-2022
625.2620000000002 W,01:28:55,12-07-2022
623.0045 W,01:29:04,12-07-2022
643.1930000000001 W,01:29:08,12-07-2022
652.1930000000001 W,01:29:11,12-07-2022
609.6875000000001 W,01:29:14,12-07-2022
604.812 W,01:29:26,12-07-2022
605.7795000000001 W,01:29:36,12-07-2022
622.3280000000001 W,01:29:39,12-07-2022
579.8225 W,01:29:51,12-07-2022
589.66 W,01:29:55,12-07-2022
599.346825 W,01:30:10,12-07-2022
606.7491500000003 W,01:30:29,12-07-2022
609.9671000000003 W,01:30:38,12-07-2022
599.0750500000001 W,01:30:51,12-07-2022
607.0750500000001 W,01:30:54,12-07-2022
615.9047000000003 W,01:31:00,12-07-2022
664.0488500000001 W,01:31:06,12-07-2022
612.3620000000002 W,01:31:10,12-07-2022
614.8029000000002 W,01:31:28,12-07-2022
594.0750500000001 W,01:31:38,12-07-2022
660.9926000000004 W,01:31:53,12-07-2022
